UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,Mechanical_Power,Temp_Diff,Tool_Stress
2998,Product_9,L,300.5,309.8,1345,62.7,153,0,0,0,0,0,0,84331.5,9.3,9593.1
4872,Product_3,L,303.7,312.4,1513,40.1,135,0,0,0,0,0,0,60671.3,8.7,5413.5
3859,Product_3,L,302.5,311.4,1559,37.6,209,0,0,0,0,0,0,58618.4,8.9,7858.4
952,Product_8,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,0,54022.2,10.7,2148
6464,Product_1,H,300.5,310,1358,60.4,102,0,0,0,0,0,0,82023.2,9.5,6160.8
3265,Product_9,H,301.3,310.1,1455,44.1,188,0,0,0,0,0,0,64165.5,8.8,8290.8
4509,Product_3,L,302.4,310,1426,46.6,102,0,0,0,0,0,0,66451.6,7.6,4753.2
2101,Product_8,M,299.3,309.3,1471,46,42,0,0,0,0,0,0,67666,10,1932
7886,Product_5,L,300.7,312.3,1590,36.3,93,0,0,0,0,0,0,57717,11.6,3375.9
2422,Product_4,L,298.9,308.2,2384,15,19,0,0,0,0,0,0,35760,9.3,285
129,Product_2,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,61258.2,9.6,4786.4
7718,Product_1,L,300.5,311.6,1365,53,85,0,0,0,0,0,0,72345,11.1,4505
6205,Product_10,M,300.9,310.8,1519,34.9,73,0,0,0,0,0,0,53013.1,9.9,2547.7
290,Product_6,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,67061.2,10.3,4810.1
922,Product_2,H,295.5,305.9,1593,37.2,197,0,0,0,0,0,0,59259.6,10.4,7328.4
5087,Product_1,L,304,313,1541,45.9,64,0,0,0,0,0,0,70731.9,9,2937.6
5107,Product_3,L,304,313.3,1519,36.7,117,0,0,0,0,0,0,55747.3,9.3,4293.9
4852,Product_1,L,303.7,312.1,1363,51.8,90,1,0,1,0,0,0,70603.4,8.4,4662
8750,Product_2,L,297.2,308.4,1677,26.4,146,0,0,0,0,0,0,44272.8,11.2,3854.4
133,Product_6,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,62251.2,9.7,5702.4
7382,Product_5,L,299.7,310.3,1495,43.1,101,0,0,0,0,0,0,64434.5,10.6,4353.1
1392,Product_4,L,298.9,310.2,2737,8.8,142,1,0,0,1,0,0,24085.6,11.3,1249.6
1740,Product_6,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0,68292,9.4,7642.2
4177,Product_3,M,302.3,310.7,1544,39.7,141,0,0,0,0,0,0,61296.8,8.4,5597.7
9602,Product_4,L,298.9,310.1,2109,18,61,0,0,0,0,0,0,37962,11.2,1098
6045,Product_5,M,300.8,310.9,1522,41.7,115,0,0,0,0,0,0,63467.4,10.1,4795.5
